Date,Company,Headline,Sentiment_Score,Sentiment
2025-12-16,HDFC Bank,Analysts upgrade HDFC Bank to BUY,0.9284,Positive
2025-12-17,HDFC Bank,HDFC Bank posts record quarterly profit,0.593,Positive
2025-12-19,Reliance Industries,Reliance Industries reports strong revenue growth,0.7531,Positive
2025-12-19,Infosys,FII buying seen in Infosys shares,0.7836,Positive
2025-12-20,Reliance Industries,Reliance Industries Q3 results beat street estimates,0.7707,Positive
2025-12-20,Hindustan Unilever,FII buying seen in Hindustan Unilever shares,0.494,Positive
2025-12-21,HDFC Bank,FII buying seen in HDFC Bank shares,0.7788,Positive
2025-12-22,Infosys,Infosys announces expansion plans,0.2423,Positive
2025-12-24,ITC,ITC reports strong revenue growth,1.0,Positive
2025-12-24,ICICI Bank,ICICI Bank posts record quarterly profit,0.7962,Positive
2025-12-25,ICICI Bank,ICICI Bank Q3 results beat street estimates,0.3625,Positive
2025-12-26,ITC,"ITC dividend declared, investors rejoice",0.5253,Positive
2025-12-26,ITC,ITC Q3 results beat street estimates,0.3194,Positive
2025-12-26,Bharti Airtel,Bharti Airtel reports strong revenue growth,0.9239,Positive
2025-12-27,TCS,FII buying seen in TCS shares,0.7512,Positive
2025-12-28,SBI,SBI announces expansion plans,0.3829,Positive
2025-12-29,Reliance Industries,FII buying seen in Reliance Industries shares,0.6378,Positive
2025-12-29,SBI,SBI reports strong revenue growth,0.4504,Positive
2025-12-29,Infosys,Infosys posts record quarterly profit,0.6893,Positive
2025-12-30,Larsen & Toubro,Larsen & Toubro announces expansion plans,1.0,Positive
2025-12-30,HDFC Bank,HDFC Bank wins major government contract,0.9584,Positive
2025-12-30,SBI,SBI announces expansion plans,1.0,Positive
2025-12-31,Larsen & Toubro,Larsen & Toubro posts record quarterly profit,0.865,Positive
2025-12-31,ICICI Bank,Analysts upgrade ICICI Bank to BUY,0.6594,Positive
2025-12-31,HDFC Bank,HDFC Bank posts record quarterly profit,0.6277,Positive
2025-12-31,Larsen & Toubro,"Larsen & Toubro dividend declared, investors rejoice",0.5959,Positive
2026-01-01,Larsen & Toubro,Larsen & Toubro reports strong revenue growth,0.6485,Positive
2026-01-01,Larsen & Toubro,Larsen & Toubro wins major government contract,0.4986,Positive
2026-01-02,Hindustan Unilever,Analysts upgrade Hindustan Unilever to BUY,0.8268,Positive
2026-01-03,HDFC Bank,HDFC Bank announces expansion plans,0.655,Positive
2026-01-04,Infosys,Analysts upgrade Infosys to BUY,0.4888,Positive
2026-01-04,Bharti Airtel,"Bharti Airtel dividend declared, investors rejoice",0.7015,Positive
2026-01-04,ICICI Bank,ICICI Bank posts record quarterly profit,0.4337,Positive
2026-01-05,SBI,SBI board meeting scheduled,0.0638,Neutral
2026-01-05,Reliance Industries,Reliance Industries posts record quarterly profit,0.817,Positive
2026-01-07,Larsen & Toubro,Larsen & Toubro Q3 results beat street estimates,0.5712,Positive
2026-01-07,Reliance Industries,Reliance Industries reports strong revenue growth,0.5496,Positive
2026-01-07,Hindustan Unilever,Hindustan Unilever wins major government contract,0.6499,Positive
2026-01-09,Infosys,Infosys announces expansion plans,0.8272,Positive
2026-01-11,ICICI Bank,"ICICI Bank dividend declared, investors rejoice",0.8359,Positive
2026-01-12,TCS,TCS Q3 results beat street estimates,0.5356,Positive
2026-01-13,HDFC Bank,Analysts upgrade HDFC Bank to BUY,0.7219,Positive
2026-01-14,Hindustan Unilever,Hindustan Unilever wins major government contract,0.5963,Positive
2026-01-14,HDFC Bank,HDFC Bank announces expansion plans,0.6736,Positive
2026-01-15,ITC,ITC wins major government contract,0.7256,Positive
2026-01-16,SBI,"SBI dividend declared, investors rejoice",0.6692,Positive
2026-01-16,ITC,ITC posts record quarterly profit,0.6091,Positive
2026-01-17,Hindustan Unilever,FII buying seen in Hindustan Unilever shares,0.8454,Positive
2026-01-17,Infosys,Analysts upgrade Infosys to BUY,0.6122,Positive
2026-01-17,TCS,TCS posts record quarterly profit,0.9829,Positive
2026-01-19,TCS,"TCS dividend declared, investors rejoice",0.6884,Positive
2026-01-20,SBI,"SBI dividend declared, investors rejoice",0.5419,Positive
2026-01-20,SBI,Analysts upgrade SBI to BUY,0.9765,Positive
2026-01-22,Infosys,Infosys announces expansion plans,0.8779,Positive
2026-01-23,ITC,ITC posts record quarterly profit,0.4176,Positive
2026-01-24,Bharti Airtel,Bharti Airtel reports strong revenue growth,1.0,Positive
2026-01-25,TCS,"TCS dividend declared, investors rejoice",0.7708,Positive
2026-01-26,TCS,FII buying seen in TCS shares,0.9808,Positive
2026-01-26,HDFC Bank,HDFC Bank posts record quarterly profit,0.9529,Positive
2026-01-26,Bharti Airtel,Bharti Airtel announces expansion plans,0.7995,Positive
2026-01-28,ITC,ITC announces expansion plans,0.8994,Positive
2026-01-29,HDFC Bank,HDFC Bank reports strong revenue growth,0.9107,Positive
2026-01-29,TCS,TCS announces expansion plans,0.5355,Positive
2026-01-29,Bharti Airtel,Bharti Airtel posts record quarterly profit,0.7925,Positive
2026-01-30,TCS,TCS Q3 results beat street estimates,0.922,Positive
2026-01-30,HDFC Bank,HDFC Bank posts record quarterly profit,0.7237,Positive
2026-01-30,TCS,TCS wins major government contract,0.5977,Positive
2026-01-31,Bharti Airtel,Bharti Airtel Q3 results beat street estimates,0.9227,Positive
2026-01-31,SBI,SBI announces expansion plans,0.5693,Positive
2026-02-01,SBI,SBI posts record quarterly profit,0.9691,Positive
2026-02-01,Hindustan Unilever,Hindustan Unilever reports strong revenue growth,0.6139,Positive
2026-02-01,HDFC Bank,HDFC Bank posts record quarterly profit,0.6043,Positive
2026-02-02,HDFC Bank,HDFC Bank posts record quarterly profit,0.4512,Positive
2026-02-02,Infosys,Infosys reports strong revenue growth,0.7268,Positive
2026-02-02,HDFC Bank,FII buying seen in HDFC Bank shares,0.6151,Positive
2026-02-02,Infosys,FII buying seen in Infosys shares,0.464,Positive
2026-02-03,Infosys,Infosys wins major government contract,0.5745,Positive
2026-02-03,HDFC Bank,"HDFC Bank dividend declared, investors rejoice",1.0,Positive
2026-02-06,Larsen & Toubro,FII buying seen in Larsen & Toubro shares,0.7514,Positive
2026-02-07,SBI,Analysts upgrade SBI to BUY,0.5005,Positive
2026-02-07,Reliance Industries,Analysts upgrade Reliance Industries to BUY,0.4909,Positive
2026-02-09,SBI,SBI posts record quarterly profit,0.4229,Positive
2026-02-09,TCS,"TCS dividend declared, investors rejoice",0.624,Positive
2026-02-11,TCS,Analysts upgrade TCS to BUY,0.6425,Positive
2026-02-11,Reliance Industries,Reliance Industries reports strong revenue growth,0.6722,Positive
2026-02-12,SBI,"SBI dividend declared, investors rejoice",0.5863,Positive
2026-02-13,SBI,"SBI dividend declared, investors rejoice",0.6858,Positive
2026-02-15,Reliance Industries,FII buying seen in Reliance Industries shares,0.7223,Positive
2026-02-15,Larsen & Toubro,FII buying seen in Larsen & Toubro shares,0.4624,Positive
2026-02-17,Infosys,Infosys announces expansion plans,0.4413,Positive
2026-02-17,TCS,Analysts upgrade TCS to BUY,0.3295,Positive
2026-02-17,Bharti Airtel,Bharti Airtel announces expansion plans,1.0,Positive
2026-02-18,ITC,Analysts upgrade ITC to BUY,0.5681,Positive
2026-02-18,TCS,Analysts upgrade TCS to BUY,0.5699,Positive
2026-02-18,Infosys,"Infosys dividend declared, investors rejoice",0.3317,Positive
2026-02-19,ICICI Bank,ICICI Bank Q3 results beat street estimates,0.6864,Positive
2026-02-20,HDFC Bank,HDFC Bank wins major government contract,0.6747,Positive
2026-02-20,TCS,TCS Q3 results beat street estimates,0.6948,Positive
2026-02-20,HDFC Bank,HDFC Bank announces expansion plans,0.7193,Positive
2026-02-22,Infosys,Infosys announces expansion plans,0.3384,Positive
2026-02-24,HDFC Bank,HDFC Bank reports strong revenue growth,0.7187,Positive
2026-02-24,Bharti Airtel,"Bharti Airtel dividend declared, investors rejoice",0.9215,Positive
2026-02-24,Infosys,"Infosys dividend declared, investors rejoice",0.505,Positive
2026-02-25,TCS,TCS wins major government contract,0.7691,Positive
2026-02-25,ICICI Bank,"ICICI Bank dividend declared, investors rejoice",0.6308,Positive
2026-02-26,Hindustan Unilever,Hindustan Unilever reports strong revenue growth,0.457,Positive
2026-02-26,TCS,TCS Q3 results beat street estimates,0.8281,Positive
2026-02-27,Bharti Airtel,"Bharti Airtel dividend declared, investors rejoice",0.8635,Positive
2026-02-27,ICICI Bank,ICICI Bank reports strong revenue growth,0.3814,Positive
2026-02-28,Infosys,Infosys Q3 results beat street estimates,0.4693,Positive
2026-02-28,SBI,SBI wins major government contract,0.3226,Positive
2026-03-01,Hindustan Unilever,Hindustan Unilever Q3 results beat street estimates,0.2602,Positive
2026-03-01,Infosys,Infosys wins major government contract,0.5729,Positive
2026-03-01,HDFC Bank,"HDFC Bank dividend declared, investors rejoice",0.7132,Positive
2026-03-03,Hindustan Unilever,Hindustan Unilever announces expansion plans,0.3886,Positive
2026-03-04,HDFC Bank,HDFC Bank wins major government contract,0.8549,Positive
2026-03-05,SBI,SBI wins major government contract,0.7097,Positive
2026-03-05,TCS,FII buying seen in TCS shares,0.6903,Positive
2026-03-05,Bharti Airtel,Analysts upgrade Bharti Airtel to BUY,0.9311,Positive
2026-03-05,ITC,ITC board meeting scheduled,0.0881,Neutral
2026-03-05,TCS,TCS reports strong revenue growth,0.5418,Positive
2026-03-07,SBI,SBI Q3 results beat street estimates,0.3347,Positive
2026-03-07,Bharti Airtel,Bharti Airtel Q3 results beat street estimates,0.7699,Positive
2026-03-07,ITC,ITC wins major government contract,0.7487,Positive
2026-03-08,ITC,ITC wins major government contract,0.5259,Positive
2026-03-10,Reliance Industries,Reliance Industries wins major government contract,0.7158,Positive
2026-03-15,ICICI Bank,"ICICI Bank dividend declared, investors rejoice",0.8983,Positive
2026-03-15,Larsen & Toubro,Larsen & Toubro posts record quarterly profit,0.7727,Positive
2026-03-15,Reliance Industries,Reliance Industries Q3 results beat street estimates,0.54,Positive
2026-03-15,Reliance Industries,Analysts upgrade Reliance Industries to BUY,0.4666,Positive
2026-03-16,Bharti Airtel,Bharti Airtel announces expansion plans,0.8299,Positive
2026-03-17,SBI,SBI posts record quarterly profit,0.6152,Positive
2026-03-18,Reliance Industries,Reliance Industries reports strong revenue growth,0.7285,Positive
2026-03-19,Infosys,Infosys posts record quarterly profit,0.4101,Positive
2026-03-19,TCS,TCS wins major government contract,0.6635,Positive
2026-03-19,TCS,TCS posts record quarterly profit,0.9683,Positive
2026-03-19,Larsen & Toubro,Analysts upgrade Larsen & Toubro to BUY,0.7637,Positive
2026-03-19,TCS,TCS wins major government contract,0.8224,Positive
2026-03-19,Hindustan Unilever,Hindustan Unilever reports strong revenue growth,0.3105,Positive
2026-03-21,TCS,TCS Q3 results beat street estimates,0.7042,Positive
2026-03-21,ITC,ITC posts record quarterly profit,0.814,Positive
2026-03-22,Infosys,Infosys wins major government contract,0.681,Positive
2026-03-22,HDFC Bank,HDFC Bank Q3 results beat street estimates,0.7774,Positive
2026-03-24,SBI,SBI posts record quarterly profit,0.6752,Positive
2026-03-24,Infosys,"Infosys dividend declared, investors rejoice",0.5473,Positive
2026-03-24,SBI,FII buying seen in SBI shares,0.294,Positive
2026-03-25,Infosys,Infosys wins major government contract,0.4821,Positive
2026-03-25,ICICI Bank,Analysts upgrade ICICI Bank to BUY,0.6937,Positive
2026-03-26,ITC,FII buying seen in ITC shares,0.7179,Positive
2026-03-26,ICICI Bank,"ICICI Bank dividend declared, investors rejoice",0.6375,Positive
2026-03-26,Reliance Industries,FII buying seen in Reliance Industries shares,0.5917,Positive
2026-03-28,Infosys,Infosys Q3 results beat street estimates,0.4755,Positive
2026-03-28,ITC,Analysts upgrade ITC to BUY,0.289,Positive
2026-03-29,Larsen & Toubro,Larsen & Toubro posts record quarterly profit,0.5301,Positive
2026-03-29,Infosys,Infosys Q3 results beat street estimates,0.3478,Positive
2026-03-30,Reliance Industries,Reliance Industries reports strong revenue growth,0.6252,Positive
2026-03-31,ITC,ITC posts record quarterly profit,0.5686,Positive
2026-04-01,Larsen & Toubro,Larsen & Toubro Q3 results beat street estimates,0.4554,Positive
2026-04-01,ITC,ITC announces expansion plans,0.6096,Positive
2026-04-04,ICICI Bank,"ICICI Bank dividend declared, investors rejoice",0.6237,Positive
2026-04-05,Hindustan Unilever,Hindustan Unilever wins major government contract,0.4003,Positive
2026-04-06,Larsen & Toubro,FII buying seen in Larsen & Toubro shares,0.7599,Positive
2026-04-06,Reliance Industries,Analysts upgrade Reliance Industries to BUY,0.8361,Positive
2026-04-07,Larsen & Toubro,Larsen & Toubro reports strong revenue growth,0.7184,Positive
2026-04-09,ICICI Bank,ICICI Bank announces expansion plans,0.6283,Positive
2026-04-09,SBI,SBI to announce results next week,-0.002,Neutral
2026-04-11,Infosys,Infosys announces expansion plans,0.8065,Positive
2026-04-13,Hindustan Unilever,Hindustan Unilever posts record quarterly profit,0.4325,Positive
2026-04-18,ITC,FII buying seen in ITC shares,0.3844,Positive
2026-04-19,Larsen & Toubro,Larsen & Toubro posts record quarterly profit,0.4988,Positive
2026-04-20,SBI,SBI Q3 results beat street estimates,0.1804,Positive
2026-04-22,Larsen & Toubro,"Larsen & Toubro dividend declared, investors rejoice",0.5304,Positive
2026-04-23,Bharti Airtel,Bharti Airtel posts record quarterly profit,0.8057,Positive
2026-04-25,Larsen & Toubro,Larsen & Toubro reports strong revenue growth,1.0,Positive
2026-04-25,Reliance Industries,Reliance Industries wins major government contract,0.8331,Positive
2026-04-26,ICICI Bank,ICICI Bank posts record quarterly profit,0.6875,Positive
2026-04-27,Infosys,Infosys wins major government contract,0.7099,Positive
2026-04-27,SBI,SBI posts record quarterly profit,0.52,Positive
2026-04-28,Hindustan Unilever,Hindustan Unilever reports strong revenue growth,0.4778,Positive
2026-04-29,Hindustan Unilever,FII buying seen in Hindustan Unilever shares,0.1322,Positive
2026-04-29,HDFC Bank,HDFC Bank reports strong revenue growth,0.7536,Positive
2026-04-29,Infosys,Analysts upgrade Infosys to BUY,0.2757,Positive
2026-04-29,Infosys,"Infosys dividend declared, investors rejoice",0.6715,Positive
2026-05-02,ITC,Analysts upgrade ITC to BUY,0.8104,Positive
2026-05-02,ITC,ITC announces expansion plans,0.59,Positive
2026-05-03,Reliance Industries,Reliance Industries announces expansion plans,0.4058,Positive
2026-05-03,ICICI Bank,FII buying seen in ICICI Bank shares,0.7545,Positive
2026-05-04,HDFC Bank,FII buying seen in HDFC Bank shares,0.653,Positive
2026-05-05,HDFC Bank,Analysts upgrade HDFC Bank to BUY,0.7013,Positive
2026-05-05,TCS,Analysts upgrade TCS to BUY,0.8227,Positive
2026-05-06,ITC,ITC reports strong revenue growth,0.7545,Positive
2026-05-06,ICICI Bank,ICICI Bank announces expansion plans,0.8544,Positive
2026-05-06,Infosys,Infosys posts record quarterly profit,0.4288,Positive
2026-05-08,ITC,FII buying seen in ITC shares,0.8453,Positive
2026-05-08,Reliance Industries,Reliance Industries Q3 results beat street estimates,0.1622,Positive
2026-05-10,SBI,"SBI dividend declared, investors rejoice",0.7969,Positive
2026-05-10,Larsen & Toubro,Larsen & Toubro posts record quarterly profit,0.6686,Positive
2026-05-10,ITC,ITC wins major government contract,0.6564,Positive
2026-05-11,HDFC Bank,Analysts upgrade HDFC Bank to BUY,0.8219,Positive
2026-05-11,Hindustan Unilever,Hindustan Unilever Q3 results beat street estimates,0.7236,Positive
2026-05-14,Infosys,Infosys posts record quarterly profit,0.6562,Positive
2026-05-15,SBI,SBI posts record quarterly profit,0.6402,Positive
2026-05-16,Reliance Industries,Reliance Industries posts record quarterly profit,0.4813,Positive
2026-05-18,Larsen & Toubro,Larsen & Toubro wins major government contract,1.0,Positive
2026-05-18,Hindustan Unilever,Analysts upgrade Hindustan Unilever to BUY,0.8657,Positive
2026-05-21,Bharti Airtel,FII buying seen in Bharti Airtel shares,0.5821,Positive
2026-05-24,Infosys,Infosys posts record quarterly profit,0.8561,Positive
2026-05-24,Reliance Industries,Reliance Industries Q3 results beat street estimates,0.6145,Positive
2026-05-24,Hindustan Unilever,Analysts upgrade Hindustan Unilever to BUY,0.5512,Positive
2026-05-25,ITC,ITC reports strong revenue growth,1.0,Positive
2026-05-28,Larsen & Toubro,Larsen & Toubro Q3 results beat street estimates,0.7015,Positive
2026-05-29,SBI,SBI wins major government contract,0.3884,Positive
2026-05-30,Bharti Airtel,Bharti Airtel posts record quarterly profit,0.9931,Positive
2026-05-30,TCS,TCS wins major government contract,0.702,Positive
2026-05-31,Hindustan Unilever,Hindustan Unilever wins major government contract,0.5551,Positive
2026-05-31,ICICI Bank,FII buying seen in ICICI Bank shares,0.7121,Positive
2026-06-01,ITC,"ITC AGM held, no major announcements",0.0806,Neutral
2026-06-01,Larsen & Toubro,Larsen & Toubro reports strong revenue growth,0.7102,Positive
2026-06-01,SBI,SBI posts record quarterly profit,0.2796,Positive
2026-06-01,Bharti Airtel,FII buying seen in Bharti Airtel shares,0.7429,Positive
2026-06-03,Infosys,Infosys announces expansion plans,0.5351,Positive
2026-06-03,Hindustan Unilever,Hindustan Unilever announces expansion plans,0.7023,Positive
2026-06-04,TCS,"TCS dividend declared, investors rejoice",0.7219,Positive
2026-06-07,HDFC Bank,FII buying seen in HDFC Bank shares,0.9555,Positive
2026-06-07,ITC,ITC wins major government contract,0.8977,Positive
2026-06-09,Bharti Airtel,FII buying seen in Bharti Airtel shares,0.7388,Positive
2026-06-09,Bharti Airtel,Bharti Airtel reports strong revenue growth,0.9539,Positive
2026-06-09,TCS,TCS wins major government contract,0.7595,Positive
2026-06-10,Infosys,Infosys Q3 results beat street estimates,0.7819,Positive
2026-06-10,Larsen & Toubro,Larsen & Toubro announces expansion plans,0.8318,Positive
2026-06-11,Larsen & Toubro,"Larsen & Toubro dividend declared, investors rejoice",0.6816,Positive
2026-06-11,Hindustan Unilever,Hindustan Unilever announces expansion plans,0.4553,Positive
2026-06-11,Hindustan Unilever,Hindustan Unilever posts record quarterly profit,0.736,Positive
2026-06-11,SBI,FII buying seen in SBI shares,0.8359,Positive
2026-06-12,Larsen & Toubro,Larsen & Toubro wins major government contract,0.3971,Positive
2026-06-13,SBI,Analysts upgrade SBI to BUY,0.9718,Positive
2026-06-13,Reliance Industries,Reliance Industries Q3 results beat street estimates,0.5463,Positive
2026-06-13,SBI,FII buying seen in SBI shares,0.4044,Positive
2026-06-14,Bharti Airtel,Analysts upgrade Bharti Airtel to BUY,0.6409,Positive
2026-06-14,Bharti Airtel,"Bharti Airtel dividend declared, investors rejoice",0.8431,Positive
2026-06-14,HDFC Bank,HDFC Bank reports strong revenue growth,0.5887,Positive
2026-06-16,ICICI Bank,ICICI Bank Q3 results beat street estimates,0.8923,Positive
2026-06-17,Bharti Airtel,Bharti Airtel Q3 results beat street estimates,0.7415,Positive
2026-06-17,TCS,TCS posts record quarterly profit,0.7752,Positive
2026-06-17,HDFC Bank,HDFC Bank reports strong revenue growth,0.8121,Positive
2026-06-18,HDFC Bank,HDFC Bank announces expansion plans,0.6848,Positive
2026-06-18,ICICI Bank,ICICI Bank wins major government contract,0.95,Positive
2026-06-19,Hindustan Unilever,Hindustan Unilever reports strong revenue growth,0.663,Positive
2026-06-19,Hindustan Unilever,Hindustan Unilever reports strong revenue growth,0.4415,Positive
2026-06-22,Bharti Airtel,"Bharti Airtel dividend declared, investors rejoice",0.9155,Positive
2026-06-24,TCS,TCS posts record quarterly profit,0.7567,Positive
2026-06-24,Bharti Airtel,Bharti Airtel posts record quarterly profit,0.8805,Positive
2026-06-25,ICICI Bank,Analysts upgrade ICICI Bank to BUY,0.3922,Positive
2026-06-25,ICICI Bank,ICICI Bank reports strong revenue growth,0.6662,Positive
